0.3110,0.7140,0.0930,0.2040
0.3320,0.9650,0.1220,0.0320
0.3940,1.0190,0.1470,0.0960
0.2850,0.8650,0.1200,0.0390
0.3860,0.9770,0.1810,0.0800
0.3390,0.8350,0.1610,0.0280
0.2740,0.9020,0.1280,0.0200
0.3700,0.8930,0.1530,0.0820
0.3970,1.1190,0.1420,0.0540
0.2470,1.0770,0.0680,0.0180
0.3880,0.8620,0.1520,0.1380
0.3430,0.9180,0.0890,0.1760
0.2720,0.8150,0.0820,0.0820
0.3260,0.8940,0.0820,0.1290
0.3220,0.9470,0.1530,0.0600
0.3680,0.8000,0.1190,0.1770
0.3920,0.8190,0.1600,0.1270
0.3550,1.0360,0.1400,0.0660
0.3260,1.0160,0.1210,0.0310
0.2940,0.9890,0.1200,0.0630
0.2880,0.8750,0.1020,0.0500
0.2890,0.8710,0.1050,0.1230
0.3380,0.8650,0.0850,0.0910
0.3500,1.0830,0.1410,0.0150
0.3750,0.7110,0.1460,0.1370
0.2880,0.8300,0.1250,0.1450
0.3480,0.9860,0.1760,0.0440
0.3880,1.0690,0.1260,0.0440
0.3360,0.9190,0.1240,0.0810
0.4000,0.8580,0.1540,0.1920
0.3640,1.0410,0.1510,0.0550
0.1200,0.8280,-0.0180,0.0540
0.2940,0.8350,0.1360,0.0650
0.3110,0.8470,0.1360,0.0530
0.2970,0.9810,0.1270,0.0910
0.3380,1.2000,0.1070,0.0330
0.2020,1.1240,0.0480,0.0640
0.3990,0.9830,0.1540,0.0960
0.2650,0.8960,0.1190,0.2090
0.2690,0.9890,0.0650,0.1380
0.3460,0.9830,0.1480,0.0810
0.3990,0.8160,0.1540,0.0650
0.3010,0.9310,0.1260,0.0080
0.3310,1.0080,0.1140,0.0220
0.2740,0.9460,0.0900,0.0450
0.2880,0.9050,0.0690,0.1210
0.2890,0.8560,0.0950,0.1080
0.2610,0.9760,0.1150,0.0570
0.3420,0.9820,0.1260,0.0750
0.3320,0.9470,0.1110,0.0470
0.3810,1.0150,0.1480,0.0640
0.3030,0.9200,0.0990,0.0500
0.3340,1.0200,0.1160,0.0300
0.3640,1.0880,0.1330,0.0670
0.3230,0.9100,0.0990,0.0300
0.3750,1.0780,0.1220,0.0240
0.3830,0.8540,0.1530,0.0850
0.3560,1.0370,0.1160,0.0440
0.3590,0.9430,0.1240,0.0130
0.3610,1.0020,0.1160,0.0850
0.2680,1.1230,0.0670,-0.0110
0.3870,0.9790,0.1220,0.1500
0.2810,0.8920,0.0910,0.0600
0.3420,0.8610,0.1030,0.1000
0.2710,0.9220,0.0820,0.1550
0.3270,0.9900,0.1230,0.0610
0.3940,1.0840,0.1410,0.0530
0.2900,0.8780,0.1440,0.0460
0.2850,0.9170,0.0800,0.1100
0.2570,0.9770,0.1130,0.0660
0.3010,0.8870,0.0930,0.0070
