393.3350,79.4600,308.8790,4.0950,1.4030,-1.4110,49.0630,39.4780
71.0480,29.2910,55.6020,2.4390,1.6670,-1.4120,22.9260,9.4860
141.4500,87.0170,72.0910,1.4720,4.7140,1.2330,23.5910,69.7540
156.5390,39.7970,127.9330,4.0170,1.2790,-1.4080,21.4150,18.2220
89.6390,34.3990,66.7410,2.9340,1.4170,-1.3770,26.4590,8.2570
103.2030,7.9790,56.0740,1.4200,0.4760,1.2160,57.8040,60.1400
115.9390,8.6640,66.9410,2.8500,0.8880,1.3160,34.3950,38.6890
139.3870,71.8620,108.1060,3.1480,1.7760,-1.4140,40.0860,19.5340
167.2060,103.6130,147.5090,2.7620,3.3560,-1.3780,25.2390,34.0620
220.9760,21.1160,132.1910,3.5060,1.2910,-0.2990,30.1960,50.9600
-999.0000,85.5810,77.9830,2.4590,1.8530,-1.3580,24.6220,43.5740
129.3530,34.5810,82.4730,1.6530,0.3120,1.3990,100.3650,42.5740
132.5170,14.4680,71.6370,2.3980,0.5430,1.3160,50.3650,43.0210
173.0420,83.8250,92.6690,3.0260,2.6860,1.3110,23.1940,32.1480
138.6990,1.6000,98.5590,3.0550,0.6610,-0.2650,54.2570,3.2400
93.2550,35.6440,64.4400,2.6970,1.6950,1.4130,23.9860,18.3300
135.9330,88.3770,74.4130,2.8220,2.5280,-1.2820,22.7570,34.2950
104.4670,8.1790,73.0770,3.1130,0.7000,-1.3430,41.1760,48.7110
97.9190,11.6360,74.5870,1.3740,0.4060,0.2850,87.9490,8.3450
101.3680,84.9970,78.5810,2.5480,2.0680,-1.3670,28.1950,33.6260
93.2410,33.9680,59.7190,0.9930,2.5980,1.3430,36.5970,99.2260
117.0990,80.5360,65.4720,2.8780,2.0260,-1.0710,22.2340,35.9940
141.8020,56.0650,98.3700,3.0480,0.3810,-1.4110,79.2730,28.7910
120.9390,25.1170,73.4140,1.8790,0.5190,1.3960,62.0660,40.6360
103.7620,4.9050,79.4880,2.7460,1.3390,-0.6400,34.7870,5.5180
91.1580,4.4530,57.8570,1.5030,0.7930,0.8260,41.0520,40.7870
78.5820,35.4190,61.2160,2.7120,1.0770,-1.4110,30.1790,12.7780
86.7730,72.7600,67.5410,0.6340,1.6990,0.3840,81.6210,54.9070
115.2050,12.4830,63.8780,2.1810,1.4190,1.2100,27.6970,66.1320
128.1330,48.6290,69.4820,2.1260,1.0630,1.2540,32.0020,49.9020
110.3240,25.0770,79.7550,3.0050,3.1630,1.4130,22.4350,9.7780
